pref,hr49_turnout,hr50_turnout,hr49_electorate,hr50_electorate,hr49_ldpvs,hr50_ldpvs,hr49_cdpvs,hr50_cdpvs,hr49_ishinvs,hr50_ishinvs,hr49_ndpvs,hr50_ndpvs,hr49_reiwavs,hr50_reiwavs,hr49_komeivs,hr50_komeivs,hr49_jcpvs,hr50_jcpvs,hr49_sdpvs,hr50_sdpvs,hr50_sanseivs,hr50_hoshuvs,hr50_mintukuvs
 ñkäCìπ,58.78,56.15,4484166,4372575,863300,641127,682913,694578.943,215344,96954,73621,192303.871,102086,177620,294371,253344,207189,169799,41248,31134,57002,61903,
 ê¬êXåß,52.92,51.6,1079309,1035855,239245,175840,131533,128030,24295,19020,13935,53931.96,18066,36933,60974,46357,43451,34182,14873,9036,13136,,
 ä‚éËåß,60.37,55.54,1040122,1000754,214750,144856,176838,173405.421,27617,21963,31414,44419.547,22975,39199,55728,42404,48534,33300,18554,13764,18274,,
 ã{èÈåß,55.86,52.15,1925623,1898040,390966,275135,239033,249392.988,104765,60722,40986,103186.973,36756,73055,119565,103542,75796,56060,23927,16703,26677,,
 èHìcåß,58.24,59.44,840933,803155,214554,169066,99572,100995.106,26561,20441,24399,64350.87,12760,25156,51281,45495,27864,20738,11043,8143,7883,,
 éRå`åß,64.32,60.82,905591,871258,235074,174526,117758,112595.297,28637,16706,39048,62792.669,19096,43200,69887,52975,33690,24782,12826,15041,10724,,
 ïüìáåß,58,53.93,1573402,1522477,333644,249552,226771,228589.06,46815,26845,45972,68309.883,33612,54312,98852,76568,63495,54347,20219,16797,17660,,
 àÔèÈåß,52.54,52.44,2414968,2375627,471179,389468,249633,231434.981,121964,78268,72785,146789.976,46166,85474,173932,142759,70097,61674,15661,16120,30828,26963,
 ì»ñÿåß,53.05,50.24,1625288,1597296,317916,234312,204098,186998.518,85832,48116,35355,76705.455,29994,57491,97469,89651,37600,31726,13355,11087,21715,17148,
 åQînåß,53.88,49.92,1614124,1580737,325171,233680,170833,161244.745,78652,42852,29689,67567.219,30901,57259,121067,93120,61592,49098,16506,15460,24507,21182,
 çÈã åß,53.96,51.14,6148485,6135836,1057799,746184,766585,704233.049,331083,221900,160227,395017.878,132531,219287,431462,349164,274826,212417,52441,44580,98509,81435,
 êÁótåß,53.64,52.13,5265989,5254919,980402,683738,609765,678365.228,309177,176104,147432,339467.711,104798,173634,343148,276382,192933,154119,39189,36630,97067,70621,
 ê_ìﬁêÏåß,56.28,54.53,7703187,7706949,1450631,1024345,941784,931848.797,530707,345014,218791,535141.145,181280,271670,460450,412320,315577,261682,79372,68080,156115,111416,
 éRóúåß,60.56,56.76,686700,673608,159754,114147,100013,90321.177,24013,15043,18259,32514.798,16597,27215,47069,41278,25983,21923,5886,5249,13963,9132,
 ìåãûìs,57.2,56.06,11486835,11532823,2000084,1498632,1293281,1298166.012,858577,516610,306180,945460.918,360387,451865,715450,573610,670340,498565,92995,96302,237271,201770,23784
